Mon Feb 17 13:30:51 2014    prof

         364164 function calls (359960 primitive calls) in 57.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 mpd.py:384(_connect_tcp)
       47    0.003    0.000    0.006    0.000 sre_compile.py:354(_simple)
       35    0.003    0.000    0.006    0.000 sre_parse.py:225(_class_escape)
        1    0.004    0.004    0.005    0.005 __init__.py:5(<module>)
      176    0.005    0.000    0.005    0.000 {method 'ljust' of 'str' objects}
        1    0.005    0.005    0.005    0.005 socks.py:31(<module>)
       33    0.004    0.000    0.005    0.000 re.py:204(escape)
      205    0.003    0.000    0.005    0.000 sre_parse.py:126(__len__)
       29    0.002    0.000    0.004    0.000 socket.py:223(meth)
      168    0.003    0.000    0.004    0.000 sre_parse.py:138(append)
        1    0.003    0.003    0.004    0.004 xmlbuilder.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:71(search_function)
        1    0.004    0.004    0.004    0.004 {_socket.getaddrinfo}
        1    0.004    0.004    0.004    0.004 bisect.py:1(<module>)
        1    0.003    0.003    0.004    0.004 hashlib.py:55(<module>)
        1    0.002    0.002    0.003    0.003 domreg.py:3(<module>)
        6    0.003    0.001    0.003    0.001 {_curses.newwin}
        1    0.003    0.003    0.003    0.003 Adafruit_CharLCD.py:9(<module>)
      141    0.003    0.000    0.003    0.000 carplayer:2280(enter_idle)
        8    0.002    0.000    0.003    0.000 genericpath.py:26(isfile)
      117    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        6    0.003    0.001    0.003    0.001 {built-in method __new__ of type object at 0xb6f736c0}
        1    0.003    0.003    0.003    0.003 {_curses.initscr}
       14    0.002    0.000    0.003    0.000 minicompat.py:102(defproperty)
        1    0.001    0.001    0.003    0.003 {__import__}
       39    0.002    0.000    0.003    0.000 sre_parse.py:257(_escape)
      169    0.003    0.000    0.003    0.000 {built-in method attron}
      357    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        1    0.003    0.003    0.003    0.003 gzip.py:36(GzipFile)
       13    0.001    0.000    0.003    0.000 {all}
      121    0.003    0.000    0.003    0.000 {getattr}
       23    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
       19    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
      167    0.002    0.000    0.002    0.000 {method 'clear' of 'dict' objects}
        1    0.001    0.001    0.002    0.002 os.py:35(_get_exports_list)
        1    0.000    0.000    0.002    0.002 threading.py:1090(__init__)
       99    0.002    0.000    0.002    0.000 collections.py:329(<genexpr>)
       31    0.001    0.000    0.002    0.000 pickle.py:1150(load_get)
        1    0.002    0.002    0.002    0.002 carplayer:1014(find_directory_from_index)
        1    0.002    0.002    0.002    0.002 string_escape.py:7(<module>)
       15    0.001    0.000    0.002    0.000 sre_parse.py:178(__init__)
        2    0.002    0.001    0.002    0.001 {dir}
        5    0.001    0.000    0.002    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.002    0.002 minicompat.py:1(<module>)
        9    0.001    0.000    0.001    0.000 {posix.stat}
      105    0.001    0.000    0.001    0.000 {setattr}
       22    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.001    0.001 {_curses.use_default_colors}
       26    0.001    0.000    0.001    0.000 carplayer:235(one_line_down)
        1    0.000    0.000    0.001    0.001 threading.py:656(__init__)
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
       13    0.000    0.000    0.001    0.000 collections.py:355(<genexpr>)
       26    0.001    0.000    0.001    0.000 sre_parse.py:72(opengroup)
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
        1    0.001    0.001    0.001    0.001 rfc822.py:71(<module>)
        1    0.000    0.000    0.001    0.001 carplayer:56(read_conf)
        1    0.001    0.001    0.001    0.001 carplayer:1922(NCMPY)
        1    0.001    0.001    0.001    0.001 <string>:1(<module>)
       30    0.001    0.000    0.001    0.000 sre_compile.py:472(isstring)
       11    0.001    0.000    0.001    0.000 carplayer:97(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method keypad}
       26    0.001    0.000    0.001    0.000 sre_parse.py:83(closegroup)
       26    0.001    0.000    0.001    0.000 {_curses.flushinp}
       16    0.001    0.000    0.001    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        2    0.000    0.000    0.001    0.000 threading.py:241(Condition)
        1    0.001    0.001    0.001    0.001 {_curses.setupterm}
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
       24    0.001    0.000    0.001    0.000 {hasattr}
        1    0.001    0.001    0.001    0.001 mpd.py:56(__init__)
        1    0.000    0.000    0.001    0.001 mpd.py:358(_hello)
        1    0.001    0.001    0.001    0.001 {_curses.curs_set}
        2    0.001    0.000    0.001    0.000 posixpath.py:258(expanduser)
        2    0.001    0.000    0.001    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.001    0.001 threading.py:541(Event)
       47    0.001    0.000    0.001    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.001    0.001 threading.py:560(__init__)
       20    0.000    0.000    0.001    0.000 sre_compile.py:51(fixup)
        8    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
       15    0.001    0.000    0.001    0.000 {_sre.compile}
        6    0.000    0.000    0.001    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.001    0.001    0.001    0.001 pickle.py:827(Unpickler)
        1    0.001    0.001    0.001    0.001 calendar.py:47(_localized_month)
        1    0.001    0.001    0.001    0.001 {zip}
        3    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.001    0.001 threading.py:640(Thread)
       39    0.001    0.000    0.001    0.000 {_sre.getlower}
        1    0.000    0.000    0.001    0.001 posixpath.py:350(abspath)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:575(set)
       13    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
      116    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        3    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 posixpath.py:321(normpath)
       86    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:212(makefile)
        2    0.000    0.000    0.000    0.000 {repr}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 string_escape.py:29(getregentry)
       15    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 xmlbuilder.py:44(DOMBuilder)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.000    0.000 carplayer:1942(_init_conf)
        1    0.000    0.000    0.000    0.000 minidom.py:1474(Document)
       26    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 pickle.py:1254(load_stop)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 __init__.py:45(start_color)
        1    0.000    0.000    0.000    0.000 tempfile.py:501(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 carplayer:683(__init__)
       35    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 minidom.py:630(Element)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 ssl.py:100(SSLSocket)
        1    0.000    0.000    0.000    0.000 Adafruit_CharLCD.py:11(Adafruit_CharLCD)
